kcp,kpc,ke,v,prob
7.99881,2.82982,0.00306527,0.120407,0.03730002
0.890280,0.0804719,0.00668058,0.151713,0.03514967
0.499392,0.108628,0.00449835,0.207485,0.02593238
2.56806,3.04739,0.00878080,0.221188,0.03333333
1.07778,0.380277,0.00780948,0.136869,0.03217399
0.990280,0.448636,0.00623526,0.130033,0.1017613
1.50913,0.611661,0.00905124,0.135292,0.03682684
0.924757,0.796231,0.00714108,0.151698,0.03200427
0.182600,0.153031,0.000842749,0.584645,0.1474394
0.440382,0.269864,0.00323092,0.284901,0.03820654
1.03247,0.391019,0.00567667,0.128862,0.06687481
1.16196,0.661767,0.00274266,0.309905,0.01869284
5.09239,0.895632,0.00892237,0.0447515,0.09293903
0.344967,0.176175,0.00396573,0.287455,0.03484382
0.182600,0.153031,0.000842749,0.584450,0.09069581
0.107569,0.0979887,0.00137155,0.443299,0.05843252
0.507277,0.514306,0.00184813,0.420647,0.08298192
0.970069,0.431973,0.00742233,0.185096,0.03441150
